,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Kevin Durant,28.0,5,199,60,108,18,38,38,41,7,34,41,27,5,8,11,13,176,0.556,0.474,0.927,39.8,35.2,8.2,5.4,1.0,1.6
1,Stephen Curry,28.0,5,189,40,91,19,49,35,39,11,29,40,47,11,0,19,14,134,0.44,0.388,0.897,37.8,26.8,8.0,9.4,2.2,0.0
2,Klay Thompson,26.0,5,183,30,70,17,40,5,7,4,20,24,11,2,1,4,16,82,0.429,0.425,0.714,36.6,16.4,4.8,2.2,0.4,0.2
3,Draymond Green,26.0,5,177,19,55,7,25,10,15,10,41,51,24,8,3,12,22,55,0.345,0.28,0.667,35.4,11.0,10.2,4.8,1.6,0.6
4,Andre Iguodala,33.0,5,141,18,34,5,15,2,6,4,13,17,17,6,5,5,10,43,0.529,0.333,0.333,28.2,8.6,3.4,3.4,1.2,1.0
5,Shaun Livingston,31.0,5,75,15,28,0,0,3,3,2,3,5,6,1,0,1,10,33,0.536,,1.0,15.0,6.6,1.0,1.2,0.2,0.0
6,David West,36.0,5,50,10,17,0,1,1,2,2,8,10,3,0,3,2,7,21,0.588,0.0,0.5,10.0,4.2,2.0,0.6,0.0,0.6
7,Ian Clark,25.0,4,44,7,16,3,11,2,2,0,4,4,3,1,0,2,4,19,0.438,0.273,1.0,11.0,4.8,1.0,0.8,0.3,0.0
8,Zaza Pachulia,32.0,5,66,7,13,0,0,2,5,9,5,14,2,2,0,8,14,16,0.538,,0.4,13.2,3.2,2.8,0.4,0.4,0.0
9,Patrick McCaw,21.0,5,34,3,11,1,5,4,4,4,6,10,2,1,0,1,2,11,0.273,0.2,1.0,6.8,2.2,2.0,0.4,0.2,0.0
10,JaVale McGee,29.0,4,22,4,6,0,0,3,4,7,3,10,3,0,2,1,7,11,0.667,,0.75,5.5,2.8,2.5,0.8,0.0,0.5
11,James Michael McAdoo,24.0,4,11,2,3,0,0,0,0,1,1,2,0,1,0,0,2,4,0.667,,,2.8,1.0,0.5,0.0,0.3,0.0
12,Matt Barnes,36.0,5,9,1,3,1,2,0,0,0,1,1,2,0,0,1,1,3,0.333,0.5,,1.8,0.6,0.2,0.4,0.0,0.0
13,Team Totals,,5,1200,216,455,71,186,105,128,61,168,229,147,38,22,67,122,608,0.475,0.382,0.82,240.0,121.6,45.8,29.4,7.6,4.4
