,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Paul Pierce,30.0,6,233,38,88,11,28,44,53,3,24,27,38,7,2,22,24,131,0.432,0.393,0.83,38.8,21.8,4.5,6.3,1.2,0.3
1,Ray Allen,32.0,6,246,37,73,22,42,26,30,8,22,30,15,8,4,11,16,122,0.507,0.524,0.867,41.0,20.3,5.0,2.5,1.3,0.7
2,Kevin Garnett,31.0,6,228,45,105,0,1,19,25,22,56,78,18,10,6,16,16,109,0.429,0.0,0.76,38.0,18.2,13.0,3.0,1.7,1.0
3,Rajon Rondo,21.0,6,162,20,53,0,3,16,27,7,16,23,40,9,3,9,13,56,0.377,0.0,0.593,27.0,9.3,3.8,6.7,1.5,0.5
4,James Posey,31.0,6,151,14,28,12,24,12,12,3,20,23,3,8,1,5,16,52,0.5,0.5,1.0,25.2,8.7,3.8,0.5,1.3,0.2
5,Leon Powe,24.0,6,53,11,20,0,0,15,21,7,12,19,0,0,0,2,13,37,0.55,,0.714,8.8,6.2,3.2,0.0,0.0,0.0
6,Eddie House,29.0,4,74,10,28,7,17,5,6,0,10,10,10,1,0,2,4,32,0.357,0.412,0.833,18.5,8.0,2.5,2.5,0.3,0.0
7,P.J. Brown,38.0,6,117,9,23,0,0,6,8,5,14,19,4,3,3,2,19,24,0.391,,0.75,19.5,4.0,3.2,0.7,0.5,0.5
8,Kendrick Perkins,23.0,5,92,8,14,0,0,4,6,8,10,18,2,3,5,6,21,20,0.571,,0.667,18.4,4.0,3.6,0.4,0.6,1.0
9,Sam Cassell,38.0,5,51,9,24,0,6,1,1,0,1,1,6,2,0,2,4,19,0.375,0.0,1.0,10.2,3.8,0.2,1.2,0.4,0.0
10,Tony Allen,26.0,3,19,4,6,0,0,0,0,0,1,1,2,1,0,0,0,8,0.667,,,6.3,2.7,0.3,0.7,0.3,0.0
11,Glen Davis,22.0,1,15,1,2,0,0,1,2,2,2,4,0,0,0,0,2,3,0.5,,0.5,15.0,3.0,4.0,0.0,0.0,0.0
12,Team Totals,,6,1441,206,464,52,121,149,191,65,188,253,138,52,24,77,148,613,0.444,0.43,0.78,240.2,102.2,42.2,23.0,8.7,4.0
