,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Larry Bird,27.0,7,305,62,128,4,6,64,76,26,72,98,25,15,8,25,24,192,0.484,0.667,0.842,43.6,27.4,14.0,3.6,2.1,1.1
1,Dennis Johnson,29.0,7,255,45,114,1,2,32,37,9,12,21,33,11,2,18,25,123,0.395,0.5,0.865,36.4,17.6,3.0,4.7,1.6,0.3
2,Robert Parish,30.0,7,256,44,100,0,0,20,34,30,50,80,9,11,11,14,32,108,0.44,,0.588,36.6,15.4,11.4,1.3,1.6,1.6
3,Kevin McHale,26.0,7,214,33,73,0,2,28,36,17,24,41,8,2,8,13,24,94,0.452,0.0,0.778,30.6,13.4,5.9,1.1,0.3,1.1
4,Cedric Maxwell,28.0,7,242,22,48,0,0,47,55,16,23,39,23,8,2,14,24,91,0.458,,0.855,34.6,13.0,5.6,3.3,1.1,0.3
5,Gerald Henderson,28.0,7,179,37,79,0,1,12,18,10,8,18,28,10,0,14,18,86,0.468,0.0,0.667,25.6,12.3,2.6,4.0,1.4,0.0
6,Danny Ainge,24.0,7,98,19,44,1,4,3,6,2,6,8,15,5,0,5,16,42,0.432,0.25,0.5,14.0,6.0,1.1,2.1,0.7,0.0
7,Scott Wedman,31.0,4,73,17,37,3,6,0,0,12,9,21,10,0,0,6,6,37,0.459,0.5,,18.3,9.3,5.3,2.5,0.0,0.0
8,Quinn Buckner,29.0,7,56,6,18,0,1,2,4,5,1,6,4,1,0,2,11,14,0.333,0.0,0.5,8.0,2.0,0.9,0.6,0.1,0.0
9,M.L. Carr,33.0,4,28,4,11,0,2,5,6,2,1,3,2,2,0,1,6,13,0.364,0.0,0.833,7.0,3.3,0.8,0.5,0.5,0.0
10,Carlos Clark,23.0,3,11,2,5,0,0,0,0,1,0,1,0,0,1,0,3,4,0.4,,,3.7,1.3,0.3,0.0,0.0,0.3
11,Greg Kite,22.0,4,13,1,4,0,0,0,0,1,0,1,2,0,1,0,5,2,0.25,,,3.3,0.5,0.3,0.5,0.0,0.3
12,Team Totals,,7,1730,292,661,9,24,213,272,131,206,337,159,65,33,112,194,806,0.442,0.375,0.783,247.1,115.1,48.1,22.7,9.3,4.7
