,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Moses Malone,27.0,4,157,36,71,0,0,31,47,27,45,72,8,6,6,11,15,103,0.507,,0.66,39.3,25.8,18.0,2.0,1.5,1.5
1,Andrew Toney,25.0,4,147,30,71,0,2,28,33,6,3,9,23,5,1,18,11,88,0.423,0.0,0.848,36.8,22.0,2.3,5.8,1.3,0.3
2,Julius Erving,32.0,4,153,30,64,0,0,16,20,9,25,34,20,5,11,9,11,76,0.469,,0.8,38.3,19.0,8.5,5.0,1.3,2.8
3,Maurice Cheeks,26.0,4,143,26,47,0,0,9,15,3,6,9,25,11,0,11,10,61,0.553,,0.6,35.8,15.3,2.3,6.3,2.8,0.0
4,Bobby Jones,31.0,4,107,21,37,0,1,6,9,9,10,19,11,8,9,8,9,48,0.568,0.0,0.667,26.8,12.0,4.8,2.8,2.0,2.3
5,Clint Richardson,26.0,4,92,11,28,0,0,3,4,5,8,13,7,5,1,4,9,25,0.393,,0.75,23.0,6.3,3.3,1.8,1.3,0.3
6,Marc Iavaroni,26.0,4,99,10,17,0,0,3,8,7,15,22,8,1,3,5,15,23,0.588,,0.375,24.8,5.8,5.5,2.0,0.3,0.8
7,Clemon Johnson,26.0,3,38,5,13,0,0,0,0,5,4,9,1,1,1,1,6,10,0.385,,,12.7,3.3,3.0,0.3,0.3,0.3
8,Mark McNamara,23.0,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1.0,,,1.0,4.0,1.0,0.0,0.0,0.0
9,Earl Cureton,25.0,2,19,1,3,0,0,0,0,0,3,3,1,2,0,1,3,2,0.333,,,9.5,1.0,1.5,0.5,1.0,0.0
10,Franklin Edwards,23.0,3,3,0,1,0,0,2,2,1,0,1,0,0,0,0,0,2,0.0,,1.0,1.0,0.7,0.3,0.0,0.0,0.0
11,Reggie Johnson,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,4,960,172,354,0,3,98,138,72,120,192,104,44,32,68,89,442,0.486,0.0,0.71,240.0,110.5,48.0,26.0,11.0,8.0
