,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Magic Johnson,27.0,6,236,66,122,1,2,24,25,12,36,48,78,14,2,13,10,157,0.541,0.5,0.96,39.3,26.2,8.0,13.0,2.3,0.3
1,Kareem Abdul-Jabbar,39.0,6,203,50,98,0,1,30,45,15,29,44,5,3,15,10,19,130,0.51,0.0,0.667,33.8,21.7,7.3,0.8,0.5,2.5
2,James Worthy,25.0,6,238,57,109,0,2,10,19,12,20,32,24,10,5,12,15,124,0.523,0.0,0.526,39.7,20.7,5.3,4.0,1.7,0.8
3,Michael Cooper,30.0,6,179,27,50,14,23,4,4,1,13,14,28,10,2,13,16,72,0.54,0.609,1.0,29.8,12.0,2.3,4.7,1.7,0.3
4,Byron Scott,25.0,6,181,30,62,1,12,10,11,7,11,18,14,3,1,6,19,71,0.484,0.083,0.909,30.2,11.8,3.0,2.3,0.5,0.2
5,Mychal Thompson,32.0,6,171,23,41,0,0,21,27,9,22,31,4,5,7,3,21,67,0.561,,0.778,28.5,11.2,5.2,0.7,0.8,1.2
6,A.C. Green,23.0,6,144,20,40,0,0,7,10,15,16,31,1,2,2,4,17,47,0.5,,0.7,24.0,7.8,5.2,0.2,0.3,0.3
7,Kurt Rambis,28.0,6,56,3,7,0,0,5,6,4,11,15,3,0,0,2,14,11,0.429,,0.833,9.3,1.8,2.5,0.5,0.0,0.0
8,Adrian Branch,23.0,4,10,1,6,0,1,3,6,0,3,3,1,1,0,0,3,5,0.167,0.0,0.5,2.5,1.3,0.8,0.3,0.3,0.0
9,Wes Matthews,27.0,4,13,2,6,0,0,1,2,0,1,1,2,0,0,3,5,5,0.333,,0.5,3.3,1.3,0.3,0.5,0.0,0.0
10,Mike Smrek,24.0,4,9,1,3,0,0,0,0,2,3,5,0,0,1,1,4,2,0.333,,,2.3,0.5,1.3,0.0,0.0,0.3
11,Team Totals,,6,1440,280,544,16,41,115,155,77,165,242,160,48,35,67,143,691,0.515,0.39,0.742,240.0,115.2,40.3,26.7,8.0,5.8
