,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Cedric Maxwell,25.0,6,227,42,74,0,0,22,29,34,23,57,17,1,6,19,21,106,0.568,,0.759,37.8,17.7,9.5,2.8,0.2,1.0
1,Larry Bird,24.0,6,257,39,93,1,3,13,16,16,76,92,42,14,3,19,16,92,0.419,0.333,0.813,42.8,15.3,15.3,7.0,2.3,0.5
2,Robert Parish,27.0,6,167,39,77,0,0,12,19,16,30,46,6,7,12,19,27,90,0.506,,0.632,27.8,15.0,7.7,1.0,1.2,2.0
3,Chris Ford,32.0,6,184,27,54,2,10,7,9,7,9,16,15,4,0,8,11,63,0.5,0.2,0.778,30.7,10.5,2.7,2.5,0.7,0.0
4,Tiny Archibald,32.0,6,203,24,66,0,2,14,16,1,6,7,33,4,0,16,11,62,0.364,0.0,0.875,33.8,10.3,1.2,5.5,0.7,0.0
5,Rick Robey,25.0,6,98,19,34,0,0,9,16,5,17,22,2,0,1,7,18,47,0.559,,0.563,16.3,7.8,3.7,0.3,0.0,0.2
6,Gerald Henderson,25.0,6,95,19,36,0,1,5,6,5,5,10,10,4,2,4,10,43,0.528,0.0,0.833,15.8,7.2,1.7,1.7,0.7,0.3
7,M.L. Carr,30.0,6,110,17,37,0,0,6,8,5,5,10,6,4,4,3,10,40,0.459,,0.75,18.3,6.7,1.7,1.0,0.7,0.7
8,Kevin McHale,23.0,6,83,12,31,0,0,4,7,10,10,20,5,0,4,6,13,28,0.387,,0.571,13.8,4.7,3.3,0.8,0.0,0.7
9,Terry Duerod,24.0,4,6,3,7,0,1,0,0,0,0,0,0,1,0,0,0,6,0.429,0.0,,1.5,1.5,0.0,0.0,0.3,0.0
10,Eric Fernsten,27.0,4,10,0,3,0,0,2,3,1,3,4,1,1,0,0,2,2,0.0,,0.667,2.5,0.5,1.0,0.3,0.3,0.0
11,Team Totals,,6,1440,241,512,3,17,94,129,100,184,284,137,40,32,101,139,579,0.471,0.176,0.729,240.0,96.5,47.3,22.8,6.7,5.3
