,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Gail Goodrich,28.0,5,198,46,98,,,36,41,,,13,13,,,,19,128,0.469,,0.878,39.6,25.6,2.6,2.6,,
1,Jerry West,33.0,5,206,38,117,,,23,29,,,20,44,,,,12,99,0.325,,0.793,41.2,19.8,4.0,8.8,,
2,Wilt Chamberlain,35.0,5,236,39,65,,,19,35,,,116,13,,,,18,97,0.6,,0.543,47.2,19.4,23.2,2.6,,
3,Jim McMillian,23.0,5,217,31,83,,,22,23,,,21,7,,,,16,84,0.373,,0.957,43.4,16.8,4.2,1.4,,
4,Happy Hairston,29.0,5,201,27,58,,,17,22,,,73,7,,,,14,71,0.466,,0.773,40.2,14.2,14.6,1.4,,
5,Pat Riley,26.0,5,81,9,33,,,7,10,,,9,4,,,,14,25,0.273,,0.7,16.2,5.0,1.8,0.8,,
6,Leroy Ellis,31.0,5,51,7,12,,,1,2,,,21,5,,,,5,15,0.583,,0.5,10.2,3.0,4.2,1.0,,
7,Flynn Robinson,30.0,2,17,3,8,,,1,1,,,3,1,,,,3,7,0.375,,1.0,8.5,3.5,1.5,0.5,,
8,John Trapp,26.0,3,12,2,7,,,1,1,,,1,1,,,,3,5,0.286,,1.0,4.0,1.7,0.3,0.3,,
9,Jim Cleamons,22.0,2,6,2,4,,,0,0,,,2,2,,,,2,4,0.5,,,3.0,2.0,1.0,1.0,,
10,Team Totals,,5,1225,204,485,,,127,164,,,279,97,,,,106,535,0.421,,0.774,245.0,107.0,55.8,19.4,,
