,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,LeBron James,31.0,7,292,82,166,13,35,31,43,17,62,79,62,18,16,31,16,208,0.494,0.371,0.721,41.7,29.7,11.3,8.9,2.6,2.3
1,Kyrie Irving,23.0,7,273,72,154,15,37,31,33,8,19,27,27,15,5,18,18,190,0.468,0.405,0.939,39.0,27.1,3.9,3.9,2.1,0.7
2,J.R. Smith,30.0,7,261,26,65,16,45,6,9,2,17,19,11,10,2,5,27,74,0.4,0.356,0.667,37.3,10.6,2.7,1.6,1.4,0.3
3,Tristan Thompson,24.0,7,226,28,44,0,0,16,30,27,44,71,5,2,6,3,21,72,0.636,,0.533,32.3,10.3,10.1,0.7,0.3,0.9
4,Kevin Love,27.0,6,158,17,47,5,19,12,17,8,33,41,8,4,2,9,12,51,0.362,0.263,0.706,26.3,8.5,6.8,1.3,0.7,0.3
5,Richard Jefferson,35.0,7,168,16,31,1,6,7,11,12,25,37,3,9,1,8,16,40,0.516,0.167,0.636,24.0,5.7,5.3,0.4,1.3,0.1
6,Iman Shumpert,25.0,7,128,7,23,4,15,3,3,3,8,11,1,1,2,7,10,21,0.304,0.267,1.0,18.3,3.0,1.6,0.1,0.1,0.3
7,Matthew Dellavedova,25.0,6,46,5,19,1,6,5,6,2,1,3,6,0,0,3,7,16,0.263,0.167,0.833,7.7,2.7,0.5,1.0,0.0,0.0
8,Mo Williams,33.0,6,29,4,12,1,5,0,0,0,3,3,1,3,0,5,3,9,0.333,0.2,,4.8,1.5,0.5,0.2,0.5,0.0
9,Dahntay Jones,35.0,6,18,2,4,0,0,4,5,0,2,2,0,0,1,0,2,8,0.5,,0.8,3.0,1.3,0.3,0.0,0.0,0.2
10,Timofey Mozgov,29.0,5,25,2,6,0,0,3,4,3,5,8,0,3,1,4,8,7,0.333,,0.75,5.0,1.4,1.6,0.0,0.6,0.2
11,Jordan McRae,24.0,1,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1.0,,,3.0,4.0,1.0,0.0,0.0,0.0
12,Channing Frye,32.0,4,33,0,3,0,1,2,2,0,3,3,0,0,2,0,5,2,0.0,0.0,1.0,8.3,0.5,0.8,0.0,0.0,0.5
13,James Jones,35.0,5,20,0,1,0,1,1,4,0,2,2,2,0,0,0,2,1,0.0,0.0,0.25,4.0,0.2,0.4,0.4,0.0,0.0
14,Team Totals,,7,1680,263,577,56,170,121,167,82,225,307,126,65,38,93,147,703,0.456,0.329,0.725,240.0,100.4,43.9,18.0,9.3,5.4
