Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jalen Brunson,29.0,5,5.0,196,0.536,0.474,3.2,8.5,5.9,24.7,2.5,0.0,11.1,37.9,106.0,109.0,20.3
OG Anunoby,28.0,5,5.0,180,0.714,0.656,0.7,13.8,7.2,4.6,2.0,3.9,3.9,18.7,141.0,106.0,17.9
Karl-Anthony Towns,30.0,5,5.0,155,0.594,0.531,8.2,28.7,18.4,13.2,2.3,3.2,19.2,18.9,107.0,101.0,11.5
Mikal Bridges,29.0,5,5.0,165,0.57,0.558,1.2,11.2,6.0,17.0,0.9,1.2,6.2,12.8,120.0,111.0,8.9
Josh Hart,30.0,5,5.0,152,0.512,0.5,5.7,28.5,17.0,21.6,2.3,1.3,15.9,12.6,113.0,101.0,9.4
Landry Shamet,28.0,5,0.0,121,0.436,0.436,1.9,7.5,4.6,5.9,0.0,1.6,0.0,13.9,97.0,113.0,3.2
Jose Alvarado,27.0,5,0.0,60,0.415,0.396,3.4,19.3,11.5,18.7,0.8,0.0,7.3,19.6,92.0,109.0,2.2
Mitchell Robinson,27.0,5,0.0,67,0.437,0.5,24.5,19.5,22.0,7.2,0.7,4.8,8.8,14.7,108.0,103.0,4.4
Jordan Clarkson,33.0,4,0.0,30,0.438,0.438,7.3,14.9,11.1,6.3,1.7,0.0,20.0,29.4,75.0,111.0,1.0
Miles McBride,25.0,5,0.0,66,0.25,0.25,3.1,1.4,2.4,15.4,0.0,1.6,12.0,16.3,64.0,113.0,0.1
Ariel Hukporti,23.0,2,0.0,5,,,19.6,0.0,9.5,29.1,0.0,39.4,,0.0,233.0,99.0,1.2
Jeremy Sochan,22.0,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,125.0,-0.2
Team Totals,28.7,5,,1200,0.535,0.495,23.7,77.2,50.4,56.8,7.7,10.1,11.9,,108.9,106.4,
