Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Kareem Abdul-Jabbar,37.0,6,6.0,213,0.629,0.604,9.2,19.5,14.2,22.9,1.3,2.4,12.2,27.3,119.0,107.0,21.7
James Worthy,23.0,6,6.0,234,0.599,0.564,4.8,8.4,6.6,11.3,0.6,0.7,6.3,22.3,120.0,115.0,17.7
Magic Johnson,25.0,6,6.0,235,0.569,0.5,1.4,17.1,9.7,45.3,2.5,0.0,17.1,20.7,117.0,107.0,20.9
Byron Scott,23.0,6,6.0,208,0.419,0.408,3.2,8.2,5.8,7.9,3.3,0.3,9.1,17.4,87.0,107.0,7.4
Michael Cooper,28.0,6,0.0,153,0.705,0.618,0.0,8.9,4.4,18.1,2.2,0.7,4.4,12.3,147.0,111.0,10.6
Bob McAdoo,33.0,6,0.0,117,0.401,0.379,3.4,14.3,8.7,4.9,0.0,1.4,14.1,24.9,74.0,113.0,1.6
Kurt Rambis,26.0,6,6.0,132,0.515,0.5,14.1,28.8,21.6,4.8,2.9,1.2,10.3,15.3,110.0,104.0,8.1
Mitch Kupchak,30.0,6,0.0,87,0.593,0.55,8.0,17.7,12.8,5.3,0.6,0.7,0.0,12.4,133.0,111.0,4.1
Mike McGee,25.0,4,0.0,26,0.681,0.65,5.0,13.7,9.2,10.2,0.0,0.0,6.7,24.6,122.0,128.0,3.2
Larry Spriggs,25.0,4,0.0,27,0.595,0.6,16.9,13.8,14.7,30.0,1.6,1.9,20.3,21.5,113.0,119.0,3.4
Ronnie Lester,26.0,2,0.0,6,0.347,0.0,0.0,0.0,0.0,16.3,0.0,0.0,25.8,18.7,98.0,132.0,-0.1
Chuck Nevitt,25.0,1,0.0,2,0.568,,0.0,0.0,0.0,0.0,22.7,26.7,0.0,17.1,123.0,48.0,2.3
Team Totals,27.4,6,,1440,0.559,0.519,26.3,72.0,49.7,69.1,8.9,4.6,10.8,,112.3,109.7,
