Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
James Worthy,26.0,7,7.0,266,0.544,0.492,8.9,13.8,11.5,22.0,1.0,0.9,11.3,27.6,109.0,111.0,16.6
Magic Johnson,28.0,7,7.0,290,0.676,0.563,2.4,14.1,8.2,52.9,2.6,0.2,14.8,20.3,136.0,110.0,24.4
Byron Scott,26.0,7,7.0,281,0.548,0.5,3.3,10.9,7.3,9.6,1.3,0.7,11.1,21.6,107.0,113.0,12.0
Kareem Abdul-Jabbar,40.0,7,7.0,207,0.463,0.414,4.5,12.0,8.3,5.7,1.0,2.3,12.4,25.1,89.0,111.0,6.6
A.C. Green,24.0,7,7.0,242,0.623,0.558,7.8,23.0,15.1,2.7,0.7,0.0,13.8,12.5,117.0,111.0,8.4
Mychal Thompson,33.0,7,0.0,151,0.495,0.5,7.1,12.1,9.9,2.0,0.0,1.2,16.8,18.0,84.0,115.0,3.2
Michael Cooper,31.0,7,0.0,176,0.274,0.239,2.2,4.9,3.7,12.2,1.8,0.7,7.8,14.2,65.0,113.0,1.0
Tony Campbell,25.0,2,0.0,14,0.84,0.667,7.1,0.0,4.1,14.5,0.0,0.0,17.4,18.9,144.0,126.0,2.8
Wes Matthews,28.0,4,0.0,9,0.63,0.333,0.0,0.0,0.0,0.0,5.9,0.0,17.4,29.7,110.0,106.0,1.0
Kurt Rambis,29.0,5,0.0,33,0.577,0.667,6.4,20.0,14.3,0.0,1.7,0.0,16.1,8.6,101.0,111.0,0.9
Mike Smrek,25.0,2,0.0,6,,,0.0,41.0,19.5,0.0,0.0,0.0,,0.0,,113.0,0.3
Milt Wagner,24.0,2,0.0,5,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.2,43.0,126.0,0.0
Team Totals,29.1,7,,1680,0.54,0.476,25.5,66.8,46.3,66.9,6.5,3.9,12.6,,108.9,111.7,
