Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Kevin Durant,28.0,5,5.0,199,0.698,0.639,3.7,17.4,11.0,22.8,1.2,3.4,8.0,28.6,139.0,114.0,30.3
Stephen Curry,28.0,5,5.0,189,0.619,0.544,7.1,16.2,11.6,36.2,2.8,0.0,14.9,27.9,126.0,113.0,24.1
Klay Thompson,26.0,5,5.0,183,0.561,0.55,2.2,11.7,7.1,8.1,0.5,0.4,5.2,17.6,113.0,119.0,10.6
Draymond Green,26.0,5,5.0,177,0.446,0.409,6.2,25.5,15.8,17.5,2.2,1.7,16.3,17.3,100.0,112.0,9.5
Andre Iguodala,33.0,5,0.0,141,0.587,0.603,3.2,9.7,6.6,15.4,2.0,3.5,12.0,12.3,121.0,114.0,8.8
Shaun Livingston,31.0,5,0.0,75,0.563,0.536,2.5,4.3,3.4,12.1,0.6,0.0,3.3,16.8,119.0,121.0,4.4
David West,36.0,5,0.0,50,0.587,0.588,3.7,17.2,11.0,7.0,0.0,5.1,10.1,16.5,109.0,116.0,3.2
Ian Clark,25.0,4,0.0,44,0.563,0.531,0.0,8.6,4.6,9.8,1.1,0.0,10.6,17.4,105.0,111.0,2.8
Zaza Pachulia,32.0,5,5.0,66,0.526,0.538,14.5,7.9,11.1,3.4,1.5,0.0,34.5,14.6,82.0,118.0,1.2
Patrick McCaw,21.0,5,0.0,34,0.431,0.318,13.1,18.5,15.8,6.9,1.4,0.0,7.3,17.0,109.0,117.0,1.9
JaVale McGee,29.0,4,0.0,22,0.709,0.667,31.8,12.3,22.7,18.5,0.0,8.6,11.4,16.2,154.0,115.0,3.4
James Michael McAdoo,24.0,4,0.0,11,0.667,0.667,10.5,8.4,8.5,0.0,4.5,0.0,0.0,10.8,141.0,105.0,1.0
Matt Barnes,36.0,5,0.0,9,0.5,0.5,0.0,14.9,6.4,35.3,0.0,0.0,25.0,17.8,90.0,120.0,0.3
Team Totals,28.4,5,,1200,0.595,0.553,27.6,74.3,51.2,68.1,7.6,7.9,11.6,,121.3,114.6,
