Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Paul Pierce,30.0,6,6.0,233,0.588,0.494,1.4,12.5,7.0,28.9,1.6,0.7,16.5,26.4,112.0,106.0,15.6
Ray Allen,32.0,6,6.0,246,0.708,0.658,3.8,10.5,7.3,11.1,1.7,1.4,11.3,18.2,129.0,106.0,16.7
Kevin Garnett,31.0,6,6.0,228,0.47,0.429,11.7,30.1,20.9,15.5,2.3,2.4,12.1,26.8,99.0,99.0,14.6
Rajon Rondo,21.0,6,6.0,162,0.432,0.377,5.0,12.3,8.8,40.1,2.9,1.6,12.2,20.7,107.0,103.0,9.5
James Posey,31.0,6,0.0,151,0.781,0.714,2.2,16.4,9.1,2.9,2.8,0.9,13.1,11.9,130.0,102.0,7.6
Leon Powe,24.0,6,1.0,53,0.633,0.55,15.9,27.3,21.6,0.0,0.0,0.0,6.4,27.6,126.0,108.0,4.4
Eddie House,29.0,4,0.0,74,0.522,0.482,0.0,16.1,7.9,21.7,0.7,0.0,6.1,20.3,115.0,106.0,5.9
P.J. Brown,38.0,6,0.0,117,0.452,0.391,5.4,14.5,9.9,4.8,1.4,2.5,7.0,11.3,101.0,105.0,2.8
Kendrick Perkins,23.0,5,5.0,92,0.601,0.571,10.6,13.0,11.7,4.2,1.8,5.1,26.5,11.4,100.0,101.0,2.9
Sam Cassell,38.0,5,0.0,51,0.389,0.375,0.0,2.6,1.2,25.3,2.1,0.0,7.6,23.9,84.0,108.0,1.7
Tony Allen,26.0,3,0.0,19,0.667,0.667,0.0,5.7,3.1,19.9,2.6,0.0,0.0,13.9,144.0,106.0,2.7
Glen Davis,22.0,1,0.0,15,0.521,0.5,16.1,18.3,17.1,0.0,0.0,0.0,0.0,8.6,142.0,107.0,2.8
Team Totals,28.3,6,,1440,0.559,0.5,27.2,79.3,53.2,67.0,9.6,7.4,12.3,,113.1,103.9,
