Year,Series,Team,Player,PTS_mean,PTS_std,PTS_CV,PTS_G
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Kristaps Porziņģis,12.333,7.506,0.609,3
2024,2024_nba_finals_mavericks_vs_celtics,DAL,P.J. Washington,10.8,5.541,0.513,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Sam Hauser,8.2,4.266,0.52,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Daniel Gafford,8.0,2.915,0.364,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Al Horford,7.0,2.915,0.416,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Derrick Jones Jr.,6.6,3.782,0.573,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dereck Lively II,5.6,4.93,0.88,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Josh Green,5.4,4.827,0.894,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Jaden Hardy,4.2,5.357,1.276,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Danté Exum,3.8,3.768,0.992,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Tim Hardaway Jr.,3.75,7.5,2.0,4
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Payton Pritchard,3.4,4.506,1.325,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Markieff Morris,3.0,0.0,0.0,1
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Xavier Tillman Sr.,3.0,0.0,0.0,2
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Oshae Brissett,2.333,4.041,1.732,3
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Neemias Queta,2.0,0.0,0.0,1
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Maxi Kleber,1.8,2.049,1.139,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Svi Mykhailiuk,1.667,1.528,0.917,3
2024,2024_nba_finals_mavericks_vs_celtics,DAL,A.J. Lawson,1.0,1.414,1.414,2
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Luke Kornet,0.667,1.155,1.732,3
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dwight Powell,0.0,0.0,0.0,3
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jaden Springer,0.0,0.0,0.0,1
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jordan Walsh,0.0,0.0,0.0,1
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Olivier-Maxence Prosper,0.0,0.0,0.0,2
2023,2023_nba_finals_heat_vs_nuggets,DEN,Nikola Jokić,30.2,6.834,0.226,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Bam Adebayo,21.8,2.49,0.114,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Jimmy Butler,21.6,5.639,0.261,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Jamal Murray,21.4,8.473,0.396,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Aaron Gordon,14.0,8.456,0.604,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Bruce Brown,11.4,5.857,0.514,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Gabe Vincent,11.4,9.072,0.796,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Kyle Lowry,10.8,1.789,0.166,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Michael Porter Jr.,9.6,5.941,0.619,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Duncan Robinson,7.8,3.701,0.475,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Caleb Martin,7.4,4.037,0.546,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Kentavious Caldwell-Pope,7.4,2.074,0.28,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Kevin Love,6.75,3.775,0.559,4
2023,2023_nba_finals_heat_vs_nuggets,DEN,Christian Braun,5.8,5.975,1.03,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Max Strus,5.8,6.723,1.159,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Jeff Green,4.8,2.387,0.497,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Haywood Highsmith,3.6,8.05,2.236,5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Cody Zeller,0.8,1.789,2.236,5
2023,2023_nba_finals_heat_vs_nuggets,DEN,DeAndre Jordan,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,MIA,Nikola Jović,0.0,0.0,0.0,2
2023,2023_nba_finals_heat_vs_nuggets,MIA,Omer Yurtseven,0.0,0.0,0.0,2
2023,2023_nba_finals_heat_vs_nuggets,DEN,Peyton Watson,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,DEN,Reggie Jackson,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,DEN,Thomas Bryant,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,MIA,Udonis Haslem,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,DEN,Vlatko Čančar,0.0,0.0,0.0,1
2023,2023_nba_finals_heat_vs_nuggets,DEN,Zeke Nnaji,0.0,0.0,0.0,1
2022,2022_nba_finals_celtics_vs_warriors,GSW,Stephen Curry,31.167,8.841,0.284,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Jaylen Brown,23.5,6.348,0.27,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Jayson Tatum,21.5,7.176,0.334,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Andrew Wiggins,18.333,4.844,0.264,6
