Year,Series,Team,Player,Closeout_Game,Closeout_PTS,Other_PTS_mean,Other_G,rel_closeout_PTS
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jrue Holiday,5,15.0,14.25,4,0.75
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Kyrie Irving,5,15.0,21.0,4,-6.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Derrick White,5,14.0,13.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Josh Green,5,14.0,3.25,4,10.75
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Derrick Jones Jr.,5,10.0,5.75,4,4.25
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Al Horford,5,9.0,6.5,4,2.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Sam Hauser,5,8.0,8.25,4,-0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Daniel Gafford,5,6.0,8.5,4,-2.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Kristaps Porziņģis,5,5.0,16.0,2,-11.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Danté Exum,5,4.0,3.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,P.J. Washington,5,4.0,12.5,4,-8.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Jaden Hardy,5,3.0,4.5,4,-1.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Payton Pritchard,5,3.0,3.5,4,-0.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dereck Lively II,5,2.0,6.5,4,-4.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Maxi Kleber,5,2.0,1.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,A.J. Lawson,5,0.0,2.0,1,-2.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dwight Powell,5,0.0,0.0,2,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jaden Springer,4,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jordan Walsh,4,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Luke Kornet,5,0.0,1.0,2,-1.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Markieff Morris,4,0.0,3.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Neemias Queta,4,0.0,2.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Olivier-Maxence Prosper,5,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Oshae Brissett,5,0.0,3.5,2,-3.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Svi Mykhailiuk,5,0.0,2.5,2,-2.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Tim Hardaway Jr.,5,0.0,5.0,3,-5.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Xavier Tillman Sr.,4,0.0,3.0,2,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Nikola Jokić,5,28.0,30.75,4,-2.75
2023,2023_nba_finals_heat_vs_nuggets,MIA,Jimmy Butler,5,21.0,21.75,4,-0.75
2023,2023_nba_finals_heat_vs_nuggets,MIA,Bam Adebayo,5,20.0,22.25,4,-2.25
2023,2023_nba_finals_heat_vs_nuggets,DEN,Michael Porter Jr.,5,16.0,8.0,4,8.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Jamal Murray,5,14.0,23.25,4,-9.25
2023,2023_nba_finals_heat_vs_nuggets,MIA,Kyle Lowry,5,12.0,10.5,4,1.5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Max Strus,5,12.0,4.25,4,7.75
2023,2023_nba_finals_heat_vs_nuggets,DEN,Kentavious Caldwell-Pope,5,11.0,6.5,4,4.5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Bruce Brown,5,10.0,11.75,4,-1.75
2023,2023_nba_finals_heat_vs_nuggets,MIA,Caleb Martin,5,10.0,6.75,4,3.25
2023,2023_nba_finals_heat_vs_nuggets,DEN,Christian Braun,5,7.0,5.5,4,1.5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Gabe Vincent,5,6.0,12.75,4,-6.75
2023,2023_nba_finals_heat_vs_nuggets,MIA,Duncan Robinson,5,5.0,8.5,4,-3.5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Aaron Gordon,5,4.0,16.5,4,-12.5
2023,2023_nba_finals_heat_vs_nuggets,DEN,Jeff Green,5,4.0,5.0,4,-1.0
2023,2023_nba_finals_heat_vs_nuggets,MIA,Kevin Love,5,3.0,8.0,3,-5.0
2023,2023_nba_finals_heat_vs_nuggets,MIA,Cody Zeller,5,0.0,1.0,4,-1.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,DeAndre Jordan,5,0.0,0.0,0,0.0
2023,2023_nba_finals_heat_vs_nuggets,MIA,Haywood Highsmith,5,0.0,4.5,4,-4.5
2023,2023_nba_finals_heat_vs_nuggets,MIA,Nikola Jović,3,0.0,0.0,2,0.0
2023,2023_nba_finals_heat_vs_nuggets,MIA,Omer Yurtseven,3,0.0,0.0,2,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Peyton Watson,3,0.0,0.0,1,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Reggie Jackson,3,0.0,0.0,1,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Thomas Bryant,3,0.0,0.0,1,0.0
2023,2023_nba_finals_heat_vs_nuggets,MIA,Udonis Haslem,3,0.0,0.0,1,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Vlatko Čančar,3,0.0,0.0,1,0.0
2023,2023_nba_finals_heat_vs_nuggets,DEN,Zeke Nnaji,3,0.0,0.0,1,0.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Jaylen Brown,6,34.0,21.4,5,12.6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Stephen Curry,6,34.0,30.6,5,3.4
2022,2022_nba_finals_celtics_vs_warriors,BOS,Al Horford,6,19.0,11.2,5,7.8
2022,2022_nba_finals_celtics_vs_warriors,GSW,Andrew Wiggins,6,18.0,18.4,5,-0.4
2022,2022_nba_finals_celtics_vs_warriors,GSW,Jordan Poole,6,15.0,12.8,5,2.2
2022,2022_nba_finals_celtics_vs_warriors,BOS,Jayson Tatum,6,13.0,23.2,5,-10.2
2022,2022_nba_finals_celtics_vs_warriors,GSW,Draymond Green,6,12.0,5.0,5,7.0
2022,2022_nba_finals_celtics_vs_warriors,GSW,Klay Thompson,6,12.0,18.0,5,-6.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Robert Williams,6,10.0,7.0,5,3.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Marcus Smart,6,9.0,16.4,5,-7.4
2022,2022_nba_finals_celtics_vs_warriors,GSW,Gary Payton II,6,6.0,7.25,4,-1.25
2022,2022_nba_finals_celtics_vs_warriors,GSW,Otto Porter Jr.,6,6.0,5.0,5,1.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Grant Williams,6,3.0,4.4,5,-1.4
2022,2022_nba_finals_celtics_vs_warriors,BOS,Derrick White,6,2.0,11.4,5,-9.4
2022,2022_nba_finals_celtics_vs_warriors,BOS,Aaron Nesmith,6,0.0,1.75,4,-1.75
2022,2022_nba_finals_celtics_vs_warriors,GSW,Andre Iguodala,6,0.0,2.333,3,-2.333
2022,2022_nba_finals_celtics_vs_warriors,GSW,Damion Lee,5,0.0,0.0,4,0.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Daniel Theis,2,0.0,1.5,2,0.0
2022,2022_nba_finals_celtics_vs_warriors,GSW,Jonathan Kuminga,5,0.0,0.0,4,0.0
2022,2022_nba_finals_celtics_vs_warriors,GSW,Juan Toscano-Anderson,5,0.0,0.0,4,0.0
2022,2022_nba_finals_celtics_vs_warriors,BOS,Juwan Morgan,6,0.0,0.0,3,0.0
2022,2022_nba_finals_celtics_vs_warriors,GSW,Kevon Looney,6,0.0,6.0,5,-6.0
