,Yr,Lg,Series,Unnamed: 3_level_1,Unnamed: 4_level_1,Team,W,Unnamed: 7_level_1,Team,W,Unnamed: 10_level_1,Favorite,Underdog
174,2014,NBA,Finals,"Jun 5 - Jun 15, 2014",,San Antonio Spurs (1),4,,Miami Heat (2),1,,SAS (-155),MIA (+135)
175,,,,,,,,,,,,,
176,2013,NBA,Eastern Conf First Round,"Apr 21 - Apr 28, 2013",,Miami Heat (1),4,,Milwaukee Bucks (8),0,,MIA (-20000),MIL (+7500)
177,2013,NBA,Eastern Conf First Round,"Apr 20 - May 3, 2013",,New York Knicks (2),4,,Boston Celtics (7),2,,NYK (-410),BOS (+320)
178,2013,NBA,Eastern Conf First Round,"Apr 21 - May 3, 2013",,Indiana Pacers (3),4,,Atlanta Hawks (6),2,,IND (-380),ATL (+300)
179,2013,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2013",,Chicago Bulls (5),4,,Brooklyn Nets (4),3,,BRK (-145),CHI (+125)
180,2013,NBA,Western Conf First Round,"Apr 21 - May 3, 2013",,Oklahoma City Thunder (1),4,,Houston Rockets (8),2,,OKC (-1900),HOU (+875)
181,2013,NBA,Western Conf First Round,"Apr 21 - Apr 28, 2013",,San Antonio Spurs (2),4,,Los Angeles Lakers (7),0,,SAS (-1000),LAL (+650)
182,2013,NBA,Western Conf First Round,"Apr 20 - May 2, 2013",,Golden State Warriors (6),4,,Denver Nuggets (3),2,,DEN (-460),GSW (+355)
183,2013,NBA,Western Conf First Round,"Apr 20 - May 3, 2013",,Memphis Grizzlies (5),4,,Los Angeles Clippers (4),2,,LAC (-180),MEM (+160)
184,2013,NBA,Eastern Conf Semifinals,"May 6 - May 15, 2013",,Miami Heat (1),4,,Chicago Bulls (5),1,,MIA (-3000),CHI (+1100)
185,2013,NBA,Eastern Conf Semifinals,"May 5 - May 18, 2013",,Indiana Pacers (3),4,,New York Knicks (2),2,,NYK (-190),IND (+165)
186,2013,NBA,Western Conf Semifinals,"May 5 - May 15, 2013",,Memphis Grizzlies (5),4,,Oklahoma City Thunder (1),1,,MEM (-127),OKC (+107)
187,2013,NBA,Western Conf Semifinals,"May 6 - May 16, 2013",,San Antonio Spurs (2),4,,Golden State Warriors (6),2,,SAS (-950),GSW (+625)
188,2013,NBA,Eastern Conf Finals,"May 22 - Jun 3, 2013",,Miami Heat (1),4,,Indiana Pacers (3),3,,MIA (-850),IND (+575)
189,2013,NBA,Western Conf Finals,"May 19 - May 27, 2013",,San Antonio Spurs (2),4,,Memphis Grizzlies (5),0,,SAS (-145),MEM (+125)
190,2013,NBA,Finals,"Jun 6 - Jun 20, 2013",,Miami Heat (1),4,,San Antonio Spurs (2),3,,MIA (-220),SAS (+180)
191,,,,,,,,,,,,,
192,2012,NBA,Eastern Conf First Round,"Apr 28 - May 10, 2012",,Philadelphia 76ers (8),4,,Chicago Bulls (1),2,,CHI (-1400),PHI (+900)
193,2012,NBA,Eastern Conf First Round,"Apr 28 - May 9, 2012",,Miami Heat (2),4,,New York Knicks (7),1,,MIA (-900),NYK (+650)
194,2012,NBA,Eastern Conf First Round,"Apr 28 - May 8, 2012",,Indiana Pacers (3),4,,Orlando Magic (6),1,,IND (-800),ORL (+600)
195,2012,NBA,Eastern Conf First Round,"Apr 29 - May 10, 2012",,Boston Celtics (4),4,,Atlanta Hawks (5),2,,BOS (-190),ATL (+160)
196,2012,NBA,Western Conf First Round,"Apr 29 - May 7, 2012",,San Antonio Spurs (1),4,,Utah Jazz (8),0,,SAS (-2500),UTA (+1450)
197,2012,NBA,Western Conf First Round,"Apr 28 - May 5, 2012",,Oklahoma City Thunder (2),4,,Dallas Mavericks (7),0,,OKC (-500),DAL (+400)
198,2012,NBA,Western Conf First Round,"Apr 29 - May 12, 2012",,Los Angeles Lakers (3),4,,Denver Nuggets (6),3,,LAL (-240),DEN (+195)
199,2012,NBA,Western Conf First Round,"Apr 29 - May 13, 2012",,Los Angeles Clippers (5),4,,Memphis Grizzlies (4),3,,MEM (-200),LAC (+170)
200,2012,NBA,Eastern Conf Semifinals,"May 13 - May 24, 2012",,Miami Heat (2),4,,Indiana Pacers (3),2,,MIA (-950),IND (+625)
201,2012,NBA,Eastern Conf Semifinals,"May 12 - May 26, 2012",,Boston Celtics (4),4,,Philadelphia 76ers (8),3,,BOS (-205),PHI (+175)
202,2012,NBA,Western Conf Semifinals,"May 15 - May 20, 2012",,San Antonio Spurs (1),4,,Los Angeles Clippers (5),0,,SAS (-2500),LAC (+1000)
203,2012,NBA,Western Conf Semifinals,"May 14 - May 21, 2012",,Oklahoma City Thunder (2),4,,Los Angeles Lakers (3),1,,OKC (-450),LAL (+350)
204,2012,NBA,Western Conf Finals,"May 27 - Jun 6, 2012",,Oklahoma City Thunder (2),4,,San Antonio Spurs (1),2,,SAS (-205),OKC (+175)
205,2012,NBA,Eastern Conf Finals,"May 28 - Jun 9, 2012",,Miami Heat (2),4,,Boston Celtics (4),3,,MIA (-530),BOS (+400)
206,2012,NBA,Finals,"Jun 12 - Jun 21, 2012",,Miami Heat (2),4,,Oklahoma City Thunder (2),1,,OKC (-175),MIA (+155)
207,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
208,2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 26, 2011",,Chicago Bulls (1),4,,Indiana Pacers (8),1,,CHI (-4000),IND (+1200)
209,2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 27, 2011",,Miami Heat (2),4,,Philadelphia 76ers (7),1,,MIA (-2500),PHI (+1000)
210,2011,NBA,Eastern Conf First Round,"Apr 17 - Apr 24, 2011",,Boston Celtics (3),4,,New York Knicks (6),0,,BOS (-350),NYK (+250)
211,2011,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2011",,Atlanta Hawks (5),4,,Orlando Magic (4),2,,ORL (-650),ATL (+425)
212,2011,NBA,Western Conf First Round,"Apr 17 - Apr 29, 2011",,Memphis Grizzlies (8),4,,San Antonio Spurs (1),2,,SAS (-390),MEM (+280)
213,2011,NBA,Western Conf First Round,"Apr 17 - Apr 28, 2011",,Los Angeles Lakers (2),4,,New Orleans Hornets (7),2,,LAL (-2500),NOH (+1000)
214,2011,NBA,Western Conf First Round,"Apr 16 - Apr 28, 2011",,Dallas Mavericks (3),4,,Portland Trail Blazers (6),2,,DAL (-200),POR (+160)
215,2011,NBA,Western Conf First Round,"Apr 17 - Apr 27, 2011",,Oklahoma City Thunder (4),4,,Denver Nuggets (5),1,,OKC (-220),DEN (+170)
216,2011,NBA,Eastern Conf Semifinals,"May 2 - May 12, 2011",,Chicago Bulls (1),4,,Atlanta Hawks (5),2,,CHI (-800),ATL (+550)
217,2011,NBA,Eastern Conf Semifinals,"May 1 - May 11, 2011",,Miami Heat (2),4,,Boston Celtics (3),1,,MIA (-190),BOS (+165)
218,2011,NBA,Western Conf Semifinals,"May 2 - May 8, 2011",,Dallas Mavericks (3),4,,Los Angeles Lakers (2),0,,LAL (-360),DAL (+280)
219,2011,NBA,Western Conf Semifinals,"May 1 - May 15, 2011",,Oklahoma City Thunder (4),4,,Memphis Grizzlies (8),3,,OKC (-350),MEM (+275)
220,2011,NBA,Eastern Conf Finals,"May 15 - May 26, 2011",,Miami Heat (2),4,,Chicago Bulls (1),1,,MIA (-190),CHI (+160)
221,2011,NBA,Western Conf Finals,"May 17 - May 25, 2011",,Dallas Mavericks (3),4,,Oklahoma City Thunder (4),1,,DAL (-240),OKC (+200)
222,2011,NBA,Finals,"May 31 - Jun 12, 2011",,Dallas Mavericks (3),4,,Miami Heat (2),2,,MIA (-175),DAL (+155)
223,,,,,,,,,,,,,
224,2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Cleveland Cavaliers (1),4,,Chicago Bulls (8),1,,CLE (-3000),CHI (+1400)
225,2010,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2010",,Orlando Magic (2),4,,Charlotte Bobcats (7),0,,ORL (-1000),CHA (+650)
226,2010,NBA,Eastern Conf First Round,"Apr 17 - May 2, 2010",,Atlanta Hawks (3),4,,Milwaukee Bucks (6),3,,ATL (-750),MIL (+550)
227,2010,NBA,Eastern Conf First Round,"Apr 17 - Apr 27, 2010",,Boston Celtics (4),4,,Miami Heat (5),1,,BOS (-175),MIA (+155)
228,2010,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2010",,Los Angeles Lakers (1),4,,Oklahoma City Thunder (8),2,,LAL (-800),OKC (+600)
229,2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,San Antonio Spurs (7),4,,Dallas Mavericks (2),2,,DAL (-150),SAS (+130)
230,2010,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2010",,Phoenix Suns (3),4,,Portland Trail Blazers (6),2,,PHO (-500),POR (+400)
231,2010,NBA,Western Conf First Round,"Apr 17 - Apr 30, 2010",,Utah Jazz (5),4,,Denver Nuggets (4),2,,DEN (-175),UTA (+150)
232,2010,NBA,Eastern Conf Semifinals,"May 1 - May 13, 2010",,Boston Celtics (4),4,,Cleveland Cavaliers (1),2,,CLE (-480),BOS (+380)
233,2010,NBA,Eastern Conf Semifinals,"May 4 - May 10, 2010",,Orlando Magic (2),4,,Atlanta Hawks (3),0,,ORL (-800),ATL (+550)
234,2010,NBA,Western Conf Semifinals,"May 2 - May 10, 2010",,Los Angeles Lakers (1),4,,Utah Jazz (5),0,,LAL (-420),UTA (+310)
235,2010,NBA,Western Conf Semifinals,"May 3 - May 9, 2010",,Phoenix Suns (3),4,,San Antonio Spurs (7),0,,PHO (-140),SAS (+120)
236,2010,NBA,Western Conf Finals,"May 17 - May 29, 2010",,Los Angeles Lakers (1),4,,Phoenix Suns (3),2,,LAL (-340),PHO (+270)
237,2010,NBA,Eastern Conf Finals,"May 16 - May 28, 2010",,Boston Celtics (4),4,,Orlando Magic (2),2,,ORL (-260),BOS (+220)
238,2010,NBA,Finals,"Jun 3 - Jun 17, 2010",,Los Angeles Lakers (1),4,,Boston Celtics (4),3,,LAL (-190),BOS (+165)
239,,,,,,,,,,,,,
240,2009,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2009",,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0,,CLE (-5000),DET (+3000)
241,2009,NBA,Eastern Conf First Round,"Apr 18 - May 2, 2009",,Boston Celtics (2),4,,Chicago Bulls (7),3,,BOS (-545),CHI (+405)
242,2009,NBA,Eastern Conf First Round,"Apr 19 - Apr 30, 2009",,Orlando Magic (3),4,,Philadelphia 76ers (6),2,,ORL (-1400),PHI (+800)
243,2009,NBA,Eastern Conf First Round,"Apr 19 - May 3, 2009",,Atlanta Hawks (4),4,,Miami Heat (5),3,,ATL (-145),MIA (+125)
244,2009,NBA,Western Conf First Round,"Apr 19 - Apr 27, 2009",,Los Angeles Lakers (1),4,,Utah Jazz (8),1,,LAL (-2000),UTA (+1200)
245,2009,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2009",,Denver Nuggets (2),4,,New Orleans Hornets (7),1,,DEN (-210),NOH (+175)
246,2009,NBA,Western Conf First Round,"Apr 18 - Apr 28, 2009",,Dallas Mavericks (6),4,,San Antonio Spurs (3),1,,SAS (-190),DAL (+160)
247,2009,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2009",,Houston Rockets (5),4,,Portland Trail Blazers (4),2,,POR (-175),HOU (+150)
248,2009,NBA,Western Conf Semifinals,"May 4 - May 17, 2009",,Los Angeles Lakers (1),4,,Houston Rockets (5),3,,LAL (-1100),HOU (+700)
249,2009,NBA,Western Conf Semifinals,"May 3 - May 13, 2009",,Denver Nuggets (2),4,,Dallas Mavericks (6),1,,DEN (-240),DAL (+200)
250,2009,NBA,Eastern Conf Semifinals,"May 5 - May 11, 2009",,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0,,CLE (-2450),ATL (+1000)
251,2009,NBA,Eastern Conf Semifinals,"May 4 - May 17, 2009",,Orlando Magic (3),4,,Boston Celtics (2),3,,BOS (-120),ORL (+100)
252,2009,NBA,Eastern Conf Finals,"May 20 - May 30, 2009",,Orlando Magic (3),4,,Cleveland Cavaliers (1),2,,CLE (-700),ORL (+550)
253,2009,NBA,Western Conf Finals,"May 19 - May 29, 2009",,Los Angeles Lakers (1),4,,Denver Nuggets (2),2,,LAL (-250),DEN (+210)
254,2009,NBA,Finals,"Jun 4 - Jun 14, 2009",,Los Angeles Lakers (1),4,,Orlando Magic (3),1,,LAL (-280),ORL (+240)
255,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
256,2008,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2008",,Boston Celtics (1),4,,Atlanta Hawks (8),3,,BOS (-8000),ATL (+4000)
257,2008,NBA,Eastern Conf First Round,"Apr 20 - May 1, 2008",,Detroit Pistons (2),4,,Philadelphia 76ers (7),2,,DET (-1300),PHI (+850)
258,2008,NBA,Eastern Conf First Round,"Apr 20 - Apr 28, 2008",,Orlando Magic (3),4,,Toronto Raptors (6),1,,ORL (-310),TOR (+260)
259,2008,NBA,Eastern Conf First Round,"Apr 19 - May 2, 2008",,Cleveland Cavaliers (4),4,,Washington Wizards (5),2,,CLE (-115),WAS (-105)
260,2008,NBA,Western Conf First Round,"Apr 20 - Apr 28, 2008",,Los Angeles Lakers (1),4,,Denver Nuggets (8),0,,LAL (-560),DEN (+460)
261,2008,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2008",,New Orleans Hornets (2),4,,Dallas Mavericks (7),1,,NOH (-145),DAL (+125)
262,2008,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2008",,San Antonio Spurs (3),4,,Phoenix Suns (6),1,,SAS (-140),PHO (+120)
263,2008,NBA,Western Conf First Round,"Apr 19 - May 2, 2008",,Utah Jazz (4),4,,Houston Rockets (5),2,,UTA (-215),HOU (+185)
264,2008,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2008",,Boston Celtics (1),4,,Cleveland Cavaliers (4),3,,BOS (-900),CLE (+600)
265,2008,NBA,Eastern Conf Semifinals,"May 3 - May 13, 2008",,Detroit Pistons (2),4,,Orlando Magic (3),1,,DET (-305),ORL (+255)
266,2008,NBA,Western Conf Semifinals,"May 4 - May 16, 2008",,Los Angeles Lakers (1),4,,Utah Jazz (4),2,,LAL (-350),UTA (+290)
267,2008,NBA,Western Conf Semifinals,"May 3 - May 19, 2008",,San Antonio Spurs (3),4,,New Orleans Hornets (2),3,,SAS (-135),NOH (+115)
268,2008,NBA,Eastern Conf Finals,"May 20 - May 30, 2008",,Boston Celtics (1),4,,Detroit Pistons (2),2,,BOS (-135),DET (+115)
269,2008,NBA,Western Conf Finals,"May 21 - May 29, 2008",,Los Angeles Lakers (1),4,,San Antonio Spurs (3),1,,LAL (-250),SAS (+210)
270,2008,NBA,Finals,"Jun 5 - Jun 17, 2008",,Boston Celtics (1),4,,Los Angeles Lakers (1),2,,LAL (-180),BOS (+160)
271,,,,,,,,,,,,,
272,2007,NBA,Eastern Conf First Round,"Apr 21 - Apr 29, 2007",,Chicago Bulls (5),4,,Miami Heat (4),0,,CHI (-140),MIA (+120)
273,2007,NBA,Eastern Conf First Round,"Apr 22 - Apr 30, 2007",,Cleveland Cavaliers (2),4,,Washington Wizards (7),0,,CLE (-2400),WAS (+1600)
274,2007,NBA,Eastern Conf First Round,"Apr 21 - Apr 28, 2007",,Detroit Pistons (1),4,,Orlando Magic (8),0,,DET (-2200),ORL (+1400)
275,2007,NBA,Eastern Conf First Round,"Apr 21 - May 4, 2007",,New Jersey Nets (6),4,,Toronto Raptors (3),2,,TOR (-165),NJN (+145)
276,2007,NBA,Western Conf First Round,"Apr 22 - May 3, 2007",,Golden State Warriors (8),4,,Dallas Mavericks (1),2,,DAL (-1800),GSW (+1200)
277,2007,NBA,Western Conf First Round,"Apr 22 - May 2, 2007",,Phoenix Suns (2),4,,Los Angeles Lakers (7),1,,PHO (-1600),LAL (+1000)
278,2007,NBA,Western Conf First Round,"Apr 22 - May 2, 2007",,San Antonio Spurs (3),4,,Denver Nuggets (6),1,,SAS (-750),DEN (+550)
279,2007,NBA,Western Conf First Round,"Apr 21 - May 5, 2007",,Utah Jazz (4),4,,Houston Rockets (5),3,,HOU (-240),UTA (+200)
280,2007,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2007",,Cleveland Cavaliers (2),4,,New Jersey Nets (6),2,,CLE (-260),NJN (+220)
281,2007,NBA,Eastern Conf Semifinals,"May 5 - May 17, 2007",,Detroit Pistons (1),4,,Chicago Bulls (5),2,,DET (-175),CHI (+155)
282,2007,NBA,Western Conf Semifinals,"May 6 - May 18, 2007",,San Antonio Spurs (3),4,,Phoenix Suns (2),2,,PHO (-150),SAS (+130)
283,2007,NBA,Western Conf Semifinals,"May 7 - May 15, 2007",,Utah Jazz (4),4,,Golden State Warriors (8),1,,UTA (-135),GSW (+115)
284,2007,NBA,Eastern Conf Finals,"May 21 - Jun 2, 2007",,Cleveland Cavaliers (2),4,,Detroit Pistons (1),2,,DET (-330),CLE (+270)
285,2007,NBA,Western Conf Finals,"May 20 - May 30, 2007",,San Antonio Spurs (3),4,,Utah Jazz (4),1,,SAS (-440),UTA (+350)
286,2007,NBA,Finals,"Jun 7 - Jun 14, 2007",,San Antonio Spurs (3),4,,Cleveland Cavaliers (2),0,,SAS (-450),CLE (+360)
287,,,,,,,,,,,,,
288,2006,NBA,Eastern Conf First Round,"Apr 22 - May 5, 2006",,Cleveland Cavaliers (4),4,,Washington Wizards (5),2,,CLE (-180),WAS (+160)
289,2006,NBA,Eastern Conf First Round,"Apr 23 - May 3, 2006",,Detroit Pistons (1),4,,Milwaukee Bucks (8),1,,DET (-5500),MIL (+3250)
290,2006,NBA,Eastern Conf First Round,"Apr 22 - May 4, 2006",,Miami Heat (2),4,,Chicago Bulls (7),2,,MIA (-850),CHI (+625)
291,2006,NBA,Eastern Conf First Round,"Apr 23 - May 4, 2006",,New Jersey Nets (3),4,,Indiana Pacers (6),2,,NJN (-325),IND (+275)
292,2006,NBA,Western Conf First Round,"Apr 23 - May 1, 2006",,Dallas Mavericks (4),4,,Memphis Grizzlies (5),0,,DAL (-725),MEM (+525)
293,2006,NBA,Western Conf First Round,"Apr 22 - May 1, 2006",,Los Angeles Clippers (6),4,,Denver Nuggets (3),1,,LAC (-185),DEN (+145)
294,2006,NBA,Western Conf First Round,"Apr 23 - May 6, 2006",,Phoenix Suns (2),4,,Los Angeles Lakers (7),3,,PHO (-360),LAL (+300)
295,2006,NBA,Western Conf First Round,"Apr 22 - May 5, 2006",,San Antonio Spurs (1),4,,Sacramento Kings (8),2,,SAS (-1050),SAC (+725)
296,2006,NBA,Eastern Conf Semifinals,"May 7 - May 21, 2006",,Detroit Pistons (1),4,,Cleveland Cavaliers (4),3,,DET (-2000),CLE (+1200)
297,2006,NBA,Eastern Conf Semifinals,"May 8 - May 16, 2006",,Miami Heat (2),4,,New Jersey Nets (3),1,,MIA (-190),NJN (+160)
298,2006,NBA,Western Conf Semifinals,"May 7 - May 22, 2006",,Dallas Mavericks (4),4,,San Antonio Spurs (1),3,,SAS (-180),DAL (+150)
299,2006,NBA,Western Conf Semifinals,"May 8 - May 22, 2006",,Phoenix Suns (2),4,,Los Angeles Clippers (6),3,,PHO (-205),LAC (+185)
300,2006,NBA,Eastern Conf Finals,"May 23 - Jun 2, 2006",,Miami Heat (2),4,,Detroit Pistons (1),2,,DET (-245),MIA (+205)
301,2006,NBA,Western Conf Finals,"May 24 - Jun 3, 2006",,Dallas Mavericks (4),4,,Phoenix Suns (2),2,,DAL (-355),PHO (+295)
302,2006,NBA,Finals,"Jun 8 - Jun 20, 2006",,Miami Heat (2),4,,Dallas Mavericks (4),2,,DAL (-150),MIA (+130)
303,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
304,2005,NBA,Eastern Conf First Round,"Apr 23 - May 3, 2005",,Detroit Pistons (2),4,,Philadelphia 76ers (7),1,,DET (-1200),PHI (+800)
305,2005,NBA,Eastern Conf First Round,"Apr 23 - May 7, 2005",,Indiana Pacers (6),4,,Boston Celtics (3),3,,BOS (-135),IND (+115)
306,2005,NBA,Eastern Conf First Round,"Apr 24 - May 1, 2005",,Miami Heat (1),4,,New Jersey Nets (8),0,,MIA (-1200),NJN (+800)
307,2005,NBA,Eastern Conf First Round,"Apr 24 - May 6, 2005",,Washington Wizards (5),4,,Chicago Bulls (4),2,,CHI (-145),WAS (+125)
308,2005,NBA,Western Conf First Round,"Apr 23 - May 7, 2005",,Dallas Mavericks (4),4,,Houston Rockets (5),3,,DAL (-220),HOU (+180)
309,2005,NBA,Western Conf First Round,"Apr 24 - May 1, 2005",,Phoenix Suns (1),4,,Memphis Grizzlies (8),0,,PHO (-1200),MEM (+800)
310,2005,NBA,Western Conf First Round,"Apr 24 - May 4, 2005",,San Antonio Spurs (2),4,,Denver Nuggets (7),1,,SAS (-500),DEN (+400)
311,2005,NBA,Western Conf First Round,"Apr 23 - May 3, 2005",,Seattle SuperSonics (3),4,,Sacramento Kings (6),1,,SAC (-120),SEA (+100)
312,2005,NBA,Eastern Conf Semifinals,"May 9 - May 19, 2005",,Detroit Pistons (2),4,,Indiana Pacers (6),2,,DET (-1100),IND (+700)
313,2005,NBA,Eastern Conf Semifinals,"May 8 - May 14, 2005",,Miami Heat (1),4,,Washington Wizards (5),0,,MIA (-1800),WAS (+1200)
314,2005,NBA,Western Conf Semifinals,"May 9 - May 20, 2005",,Phoenix Suns (1),4,,Dallas Mavericks (4),2,,PHO (-300),DAL (+220)
315,2005,NBA,Western Conf Semifinals,"May 8 - May 19, 2005",,San Antonio Spurs (2),4,,Seattle SuperSonics (3),2,,SAS (-1200),SEA (+800)
316,2005,NBA,Eastern Conf Finals,"May 23 - Jun 6, 2005",,Detroit Pistons (2),4,,Miami Heat (1),3,,MIA (-130),DET (+110)
317,2005,NBA,Western Conf Finals,"May 22 - Jun 1, 2005",,San Antonio Spurs (2),4,,Phoenix Suns (1),1,,SAS (-160),PHO (+140)
318,2005,NBA,Finals,"Jun 9 - Jun 23, 2005",,San Antonio Spurs (2),4,,Detroit Pistons (2),3,,SAS (-250),DET (+200)
319,,,,,,,,,,,,,
320,2004,NBA,Eastern Conf First Round,"Apr 18 - Apr 29, 2004",,Detroit Pistons (3),4,,Milwaukee Bucks (6),1,,DET (-1780),MIL (+1430)
321,2004,NBA,Eastern Conf First Round,"Apr 17 - Apr 25, 2004",,Indiana Pacers (1),4,,Boston Celtics (8),0,,IND (-1980),BOS (+1520)
322,2004,NBA,Eastern Conf First Round,"Apr 18 - May 4, 2004",,Miami Heat (4),4,,New Orleans Hornets (5),3,,MIA (-277),NOH (+243)
323,2004,NBA,Eastern Conf First Round,"Apr 17 - Apr 25, 2004",,New Jersey Nets (2),4,,New York Knicks (7),0,,NJN (-580),NYK (+500)
324,2004,NBA,Western Conf First Round,"Apr 17 - Apr 28, 2004",,Los Angeles Lakers (2),4,,Houston Rockets (7),1,,LAL (-1080),HOU (+920)
325,2004,NBA,Western Conf First Round,"Apr 18 - Apr 30, 2004",,Minnesota Timberwolves (1),4,,Denver Nuggets (8),1,,MIN (-1920),DEN (+1540)
326,2004,NBA,Western Conf First Round,"Apr 18 - Apr 29, 2004",,Sacramento Kings (4),4,,Dallas Mavericks (5),1,,SAC (-164),DAL (+148)
327,2004,NBA,Western Conf First Round,"Apr 17 - Apr 25, 2004",,San Antonio Spurs (3),4,,Memphis Grizzlies (6),0,,SAS (-1080),MEM (+920)
328,2004,NBA,Eastern Conf Semifinals,"May 3 - May 20, 2004",,Detroit Pistons (3),4,,New Jersey Nets (2),3,,DET (-210),NJN (+180)
329,2004,NBA,Eastern Conf Semifinals,"May 6 - May 18, 2004",,Indiana Pacers (1),4,,Miami Heat (4),2,,IND (-2300),MIA (+1600)
330,2004,NBA,Western Conf Semifinals,"May 2 - May 15, 2004",,Los Angeles Lakers (2),4,,San Antonio Spurs (3),2,,SAS (-140),LAL (+120)
331,2004,NBA,Western Conf Semifinals,"May 4 - May 19, 2004",,Minnesota Timberwolves (1),4,,Sacramento Kings (4),3,,MIN (-160),SAC (+140)
332,2004,NBA,Eastern Conf Finals,"May 22 - Jun 1, 2004",,Detroit Pistons (3),4,,Indiana Pacers (1),2,,IND (-165),DET (+145)
333,2004,NBA,Western Conf Finals,"May 21 - May 31, 2004",,Los Angeles Lakers (2),4,,Minnesota Timberwolves (1),2,,LAL (-330),MIN (+270)
334,2004,NBA,Finals,"Jun 6 - Jun 15, 2004",,Detroit Pistons (3),4,,Los Angeles Lakers (2),1,,LAL (-700),DET (+500)
335,,,,,,,,,,,,,
336,2003,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2003",,Boston Celtics (6),4,,Indiana Pacers (3),2,,IND (-340),BOS (+280)
337,2003,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2003",,Detroit Pistons (1),4,,Orlando Magic (8),3,,DET (-220),ORL (+180)
338,2003,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2003",,New Jersey Nets (2),4,,Milwaukee Bucks (7),2,,NJN (-280),MIL (+230)
339,2003,NBA,Eastern Conf First Round,"Apr 20 - May 2, 2003",,Philadelphia 76ers (4),4,,New Orleans Hornets (5),2,,PHI (-179),NOH (+150)
340,2003,NBA,Western Conf First Round,"Apr 19 - May 4, 2003",,Dallas Mavericks (3),4,,Portland Trail Blazers (6),3,,DAL (-400),POR (+320)
341,2003,NBA,Western Conf First Round,"Apr 20 - May 1, 2003",,Los Angeles Lakers (5),4,,Minnesota Timberwolves (4),2,,LAL (-400),MIN (+320)
342,2003,NBA,Western Conf First Round,"Apr 19 - Apr 30, 2003",,Sacramento Kings (2),4,,Utah Jazz (7),1,,SAC (-1400),UTA (+1000)
343,2003,NBA,Western Conf First Round,"Apr 19 - May 1, 2003",,San Antonio Spurs (1),4,,Phoenix Suns (8),2,,SAS (-1000),PHO (+700)
344,2003,NBA,Eastern Conf Semifinals,"May 6 - May 16, 2003",,Detroit Pistons (1),4,,Philadelphia 76ers (4),2,,PHI (-150),DET (+130)
345,2003,NBA,Eastern Conf Semifinals,"May 5 - May 12, 2003",,New Jersey Nets (2),4,,Boston Celtics (6),0,,NJN (-380),BOS (+320)
346,2003,NBA,Western Conf Semifinals,"May 6 - May 17, 2003",,Dallas Mavericks (3),4,,Sacramento Kings (2),3,,SAC (-280),DAL (+240)
347,2003,NBA,Western Conf Semifinals,"May 5 - May 15, 2003",,San Antonio Spurs (1),4,,Los Angeles Lakers (5),2,,LAL (-145),SAS (+125)
348,2003,NBA,Eastern Conf Finals,"May 18 - May 24, 2003",,New Jersey Nets (2),4,,Detroit Pistons (1),0,,NJN (-300),DET (+250)
349,2003,NBA,Western Conf Finals,"May 19 - May 29, 2003",,San Antonio Spurs (1),4,,Dallas Mavericks (3),2,,SAS (-380),DAL (+320)
350,2003,NBA,Finals,"Jun 4 - Jun 15, 2003",,San Antonio Spurs (1),4,,New Jersey Nets (2),2,,SAS (-330),NJN (+260)
351,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
352,2002,NBA,Eastern Conf First Round,"Apr 21 - May 3, 2002",,Boston Celtics (3),3,,Philadelphia 76ers (6),2,,BOS (-200),PHI (+170)
353,2002,NBA,Eastern Conf First Round,"Apr 20 - Apr 30, 2002",,Charlotte Hornets (4),3,,Orlando Magic (5),1,,CHH (-300),ORL (+250)
354,2002,NBA,Eastern Conf First Round,"Apr 21 - May 2, 2002",,Detroit Pistons (2),3,,Toronto Raptors (7),2,,DET (-450),TOR (+325)
355,2002,NBA,Eastern Conf First Round,"Apr 20 - May 2, 2002",,New Jersey Nets (1),3,,Indiana Pacers (8),2,,NJN (-400),IND (+300)
