,Yr,Lg,Series,Unnamed: 3_level_1,Unnamed: 4_level_1,Team,W,Unnamed: 7_level_1,Team,W,Unnamed: 10_level_1,Favorite,Underdog
43,2022,NBA,Western Conf Semifinals,"May 1 - May 13, 2022",,Golden State Warriors (3),4,,Memphis Grizzlies (2),2,,GSW (-255),MEM (+210)
44,2022,NBA,Western Conf Finals,"May 18 - May 26, 2022",,Golden State Warriors (3),4,,Dallas Mavericks (4),1,,GSW (-220),DAL (+180)
45,2022,NBA,Eastern Conf Finals,"May 17 - May 29, 2022",,Boston Celtics (2),4,,Miami Heat (1),3,,BOS (-160),MIA (+140)
46,2022,NBA,Finals,"Jun 2 - Jun 16, 2022",,Golden State Warriors (3),4,,Boston Celtics (2),2,,GSW (-145),BOS (+125)
47,,,,,,,,,,,,,
48,2021,NBA,Eastern Conf First Round,"May 22 - May 29, 2021",,Milwaukee Bucks (3),4,,Miami Heat (6),0,,MIL (-320),MIA (+250)
49,2021,NBA,Western Conf First Round,"May 22 - Jun 6, 2021",,Los Angeles Clippers (4),4,,Dallas Mavericks (5),3,,LAC (-400),DAL (+310)
50,2021,NBA,Eastern Conf First Round,"May 22 - Jun 1, 2021",,Brooklyn Nets (2),4,,Boston Celtics (7),1,,BRK (-1400),BOS (+800)
51,2021,NBA,Western Conf First Round,"May 22 - Jun 3, 2021",,Denver Nuggets (3),4,,Portland Trail Blazers (6),2,,POR (-130),DEN (+110)
52,2021,NBA,Eastern Conf First Round,"May 23 - Jun 2, 2021",,Philadelphia 76ers (1),4,,Washington Wizards (8),1,,PHI (-1000),WAS (+650)
53,2021,NBA,Western Conf First Round,"May 23 - Jun 2, 2021",,Utah Jazz (1),4,,Memphis Grizzlies (8),1,,UTA (-1400),MEM (+800)
54,2021,NBA,Eastern Conf First Round,"May 23 - Jun 2, 2021",,Atlanta Hawks (5),4,,New York Knicks (4),1,,ATL (-130),NYK (+110)
55,2021,NBA,Western Conf First Round,"May 23 - Jun 3, 2021",,Phoenix Suns (2),4,,Los Angeles Lakers (7),2,,LAL (-175),PHO (+155)
56,2021,NBA,Eastern Conf Semifinals,"Jun 5 - Jun 19, 2021",,Milwaukee Bucks (3),4,,Brooklyn Nets (2),3,,BRK (-180),MIL (+160)
57,2021,NBA,Eastern Conf Semifinals,"Jun 6 - Jun 20, 2021",,Atlanta Hawks (5),4,,Philadelphia 76ers (1),3,,PHI (-175),ATL (+155)
58,2021,NBA,Western Conf Semifinals,"Jun 7 - Jun 13, 2021",,Phoenix Suns (2),4,,Denver Nuggets (3),0,,PHO (-210),DEN (+175)
59,2021,NBA,Western Conf Semifinals,"Jun 8 - Jun 18, 2021",,Los Angeles Clippers (4),4,,Utah Jazz (1),2,,UTA (-130),LAC (+110)
60,2021,NBA,Western Conf Finals,"Jun 20 - Jun 30, 2021",,Phoenix Suns (2),4,,Los Angeles Clippers (4),2,,PHO (-200),LAC (+170)
61,2021,NBA,Eastern Conf Finals,"Jun 23 - Jul 3, 2021",,Milwaukee Bucks (3),4,,Atlanta Hawks (5),2,,MIL (-500),ATL (+400)
62,2021,NBA,Finals,"Jul 6 - Jul 20, 2021",,Milwaukee Bucks (3),4,,Phoenix Suns (2),2,,PHO (-180),MIL (+160)
63,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
64,2020,NBA,Eastern Conf First Round,"Aug 18 - Aug 29, 2020",,Milwaukee Bucks (1),4,,Orlando Magic (8),1,,MIL (-7500),ORL (+3250)
65,2020,NBA,Eastern Conf First Round,"Aug 17 - Aug 23, 2020",,Toronto Raptors (2),4,,Brooklyn Nets (7),0,,TOR (-2200),BRK (+1315)
66,2020,NBA,Eastern Conf First Round,"Aug 17 - Aug 23, 2020",,Boston Celtics (3),4,,Philadelphia 76ers (6),0,,BOS (-450),PHI (+360)
67,2020,NBA,Eastern Conf First Round,"Aug 18 - Aug 24, 2020",,Miami Heat (5),4,,Indiana Pacers (4),0,,MIA (-320),IND (+260)
68,2020,NBA,Western Conf First Round,"Aug 18 - Aug 29, 2020",,Los Angeles Lakers (1),4,,Portland Trail Blazers (8),1,,LAL (-550),POR (+425)
69,2020,NBA,Western Conf First Round,"Aug 17 - Aug 30, 2020",,Los Angeles Clippers (2),4,,Dallas Mavericks (7),2,,LAC (-630),DAL (+465)
70,2020,NBA,Western Conf First Round,"Aug 17 - Sep 1, 2020",,Denver Nuggets (3),4,,Utah Jazz (6),3,,DEN (-285),UTA (+243)
71,2020,NBA,Western Conf First Round,"Aug 18 - Sep 2, 2020",,Houston Rockets (4),4,,Oklahoma City Thunder (5),3,,HOU (-160),OKC (+140)
72,2020,NBA,Eastern Conf Semifinals,"Aug 30 - Sep 11, 2020",,Boston Celtics (3),4,,Toronto Raptors (2),3,,TOR (-135),BOS (+115)
73,2020,NBA,Eastern Conf Semifinals,"Aug 31 - Sep 8, 2020",,Miami Heat (5),4,,Milwaukee Bucks (1),1,,MIL (-440),MIA (+350)
74,2020,NBA,Western Conf Semifinals,"Sep 3 - Sep 15, 2020",,Denver Nuggets (3),4,,Los Angeles Clippers (2),3,,LAC (-1300),DEN (+850)
75,2020,NBA,Western Conf Semifinals,"Sep 4 - Sep 12, 2020",,Los Angeles Lakers (1),4,,Houston Rockets (4),1,,LAL (-550),HOU (+425)
76,2020,NBA,Eastern Conf Finals,"Sep 15 - Sep 27, 2020",,Miami Heat (5),4,,Boston Celtics (3),2,,BOS (-130),MIA (+110)
77,2020,NBA,Western Conf Finals,"Sep 18 - Sep 26, 2020",,Los Angeles Lakers (1),4,,Denver Nuggets (3),1,,LAL (-550),DEN (+425)
78,2020,NBA,Finals,"Sep 30 - Oct 11, 2020",,Los Angeles Lakers (1),4,,Miami Heat (5),2,,LAL (-350),MIA (+290)
79,,,,,,,,,,,,,
80,2019,NBA,Eastern Conf First Round,"Apr 14 - Apr 22, 2019",,Milwaukee Bucks (1),4,,Detroit Pistons (8),0,,MIL (-3500),DET (+1750)
81,2019,NBA,Eastern Conf First Round,"Apr 13 - Apr 23, 2019",,Toronto Raptors (2),4,,Orlando Magic (7),1,,TOR (-1200),ORL (+775)
82,2019,NBA,Eastern Conf First Round,"Apr 13 - Apr 23, 2019",,Philadelphia 76ers (3),4,,Brooklyn Nets (6),1,,PHI (-600),BRK (+450)
83,2019,NBA,Eastern Conf First Round,"Apr 14 - Apr 21, 2019",,Boston Celtics (4),4,,Indiana Pacers (5),0,,BOS (-465),IND (+370)
84,2019,NBA,Western Conf First Round,"Apr 13 - Apr 26, 2019",,Golden State Warriors (1),4,,Los Angeles Clippers (8),2,,GSW (-15000),LAC (+6000)
85,2019,NBA,Western Conf First Round,"Apr 13 - Apr 27, 2019",,Denver Nuggets (2),4,,San Antonio Spurs (7),3,,DEN (-270),SAS (+230)
86,2019,NBA,Western Conf First Round,"Apr 14 - Apr 23, 2019",,Portland Trail Blazers (3),4,,Oklahoma City Thunder (6),1,,OKC (-165),POR (+145)
